Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.
153.9,200,201.03,200.09,12,1
293.9,200,201.98,200.23,12,1
433.9,200,202.94,200.4,12,1
583.9,200,203.97,200.61,12,1
723.9,200.01,204.93,200.82,12,1
873.9,200.02,205.97,201.08,12,1
1013.9,200.03,206.93,201.33,12,1
1153.9,200.06,207.89,201.59,12,1
1303.9,200.1,208.92,201.9,12,1
1443.9,200.15,209.89,202.19,12,1
1593.9,200.22,210.92,202.52,12,1
1733.9,200.29,211.88,202.84,12,1
1873.9,200.38,212.85,203.17,12,1
2023.9,200.49,213.88,203.54,12,1
2163.9,200.6,214.85,203.89,12,1
2313.9,200.74,215.88,204.28,12,1
2453.9,200.88,216.85,204.66,12,1
2593.9,201.04,217.81,205.05,12,1
2743.9,201.22,218.84,205.47,12,1
2883.9,201.41,219.81,205.88,12,1
3033.9,201.62,220.84,206.32,12,1
3173.9,201.83,221.81,206.75,12,1
3313.9,202.05,222.78,207.18,12,1
3463.9,202.3,223.81,207.66,12,1
3603.9,202.55,224.78,208.11,12,1
3753.9,202.83,225.81,208.61,12,1
3893.9,203.1,226.78,209.08,12,1
4033.9,203.38,227.74,209.55,12,1
4183.9,203.7,228.78,210.08,12,1
4323.9,204.01,229.75,210.57,12,1
4473.9,204.35,230.78,211.11,12,1
4613.9,204.68,231.75,211.62,12,1
4753.9,205.02,232.71,212.14,12,1
4903.9,205.39,233.75,212.71,12,1
5043.9,205.75,234.72,213.24,12,1
5193.9,206.15,235.75,213.82,12,1
5333.9,206.53,236.72,214.37,12,1
5473.9,206.93,237.69,214.93,12,1
5623.9,207.36,238.72,215.53,12,1
5763.9,207.77,239.69,216.1,12,1
5913.9,208.22,240.73,216.72,12,1
6053.9,208.65,241.7,217.31,12,1
6193.9,209.09,242.66,217.9,12,1
6343.9,209.57,243.7,218.54,12,1
6483.9,210.03,244.67,219.14,12,1
6633.9,210.52,245.71,219.78,12,1
6773.9,210.99,246.68,220.37,12,1
6913.9,211.47,247.65,220.98,12,1
7063.9,211.98,248.68,221.63,12,1
7203.9,212.47,249.65,222.25,12,1
7353.9,213,250.69,222.92,12,1
7493.9,213.51,251.66,223.55,12,1
7633.9,214.02,252.63,224.19,12,1
7783.9,214.57,253.66,224.88,12,1
7923.9,215.1,254.63,225.53,12,1
8073.9,215.67,255.67,226.23,12,1
8213.9,216.2,256.64,226.89,12,1
8353.9,216.75,257.61,227.55,12,1
8503.9,217.34,258.64,228.27,12,1
8643.9,217.9,259.61,228.95,12,1
8793.9,218.51,260.65,229.68,12,1
8933.9,219.08,261.62,230.36,12,1
9073.9,219.66,262.59,231.05,12,1
9223.9,220.29,263.63,231.79,12,1
9363.9,220.88,264.6,232.49,12,1
9513.9,221.52,265.63,233.25,12,1
9653.9,222.12,266.6,233.95,12,1
9793.9,222.73,267.57,234.67,12,1
9943.9,223.39,268.61,235.43,12,1
10084,224.02,269.58,236.16,12,1
10234,224.69,270.62,236.93,12,1
10374,225.32,271.59,237.66,12,1
10514,225.96,272.56,238.39,12,1
10664,226.65,273.6,239.18,12,1
10804,227.3,274.56,239.93,12,1
10954,228.01,275.6,240.72,12,1
11094,228.67,276.57,241.47,12,1
11234,229.33,277.54,242.22,12,1
11384,230.05,278.58,243.03,12,1
11524,230.73,279.55,243.79,12,1
11674,231.46,280.59,244.61,12,1
11814,232.14,281.56,245.38,12,1
11954,232.83,282.53,246.15,12,1
12104,233.58,283.57,246.98,12,1
12244,234.28,284.54,247.75,12,1
12394,235.03,285.58,248.59,12,1
12534,235.74,286.55,249.37,12,1
12674,236.45,287.52,250.16,12,1
12824,237.22,288.56,251,12,1
12964,237.94,289.53,251.79,12,1
13114,238.71,290.58,252.63,12,1
13254,239.42,291.55,253.4,12,1
13394,240.12,292.52,254.17,12,1
13544,240.88,293.56,255,12,1
13684,241.6,294.53,255.78,12,1
13834,242.37,295.57,256.62,12,1
13974,243.09,296.54,257.4,12,1
14114,243.81,297.51,258.19,12,1
14264,244.59,298.55,259.04,12,1
14400,245.3,299.49,259.81,12,1
