Time (s),T_min (C),T_max (C),T_ave (C),Sequence_ID,Case_No.,TimeN (s),Time_aveN (C)
153.97,100.0,101.54,100.15,3,1,-1.7139061353518437,-1.3866449726532546
293.97,100.0,102.98,100.37,3,1,-1.6802246002042618,-1.3789738946961207
433.97,100.0,104.42,100.64,3,1,-1.64654306505668,-1.3695593899305472
583.97,100.01,105.96,100.98,3,1,-1.610455705969985,-1.357704087633158
723.97,100.02,107.4,101.33,3,1,-1.5767741708224035,-1.3455000999740814
873.97,100.05,108.95,101.73,3,1,-1.5406868117357087,-1.3315526855065647
1014.0,100.09,110.39,102.14,3,1,-1.5069980591163095,-1.3172565856773604
1154.0,100.15,111.84,102.56,3,1,-1.4733165239687276,-1.302611800486468
1304.0,100.24,113.38,103.05,3,1,-1.4372291648820328,-1.2855262177637605
1444.0,100.35,114.83,103.53,3,1,-1.4035476297344511,-1.2687893204027405
1594.0,100.49,116.38,104.06,3,1,-1.3674602706477563,-1.2503089962332812
1734.0,100.65,117.82,104.57,3,1,-1.3337787355001745,-1.232526042787198
1874.0,100.83,119.27,105.11,3,1,-1.3000972003525926,-1.2136970332560506
2024.0,101.05,120.82,105.71,3,1,-1.2640098412658978,-1.192775911554776
2164.0,101.28,122.27,106.28,3,1,-1.2303283061183161,-1.1729008459385648
2314.0,101.55,123.82,106.91,3,1,-1.1942409470316213,-1.1509336681522264
2454.0,101.82,125.27,107.52,3,1,-1.1605594118840394,-1.1296638610892638
2594.0,102.12,126.71,108.15,3,1,-1.1268778767364576,-1.1076966833029251
2744.0,102.47,128.26,108.84,3,1,-1.0907905176497628,-1.0836373933464591
2884.0,102.81,129.71,109.5,3,1,-1.057108982502181,-1.0606241594750572
3034.0,103.21,131.26,110.23,3,1,-1.0210216234154863,-1.0351701280718395
3174.0,103.6,132.71,110.92,3,1,-0.9873400882679044,-1.0111108381153735
3314.0,104.01,134.16,111.63,3,1,-0.9536585531203225,-0.986354177435532
3464.0,104.47,135.71,112.4,3,1,-0.9175711940336277,-0.9595054045855624
3604.0,104.92,137.16,113.14,3,1,-0.883889658886046,-0.9337026878206571
3754.0,105.43,138.72,113.94,3,1,-0.8478022997993512,-0.9058078588856242
3894.0,105.92,140.16,114.71,3,1,-0.8141207646517694,-0.8789590860356552
4034.0,106.43,141.61,115.49,3,1,-0.7804392295041875,-0.851761627823998
4184.0,107.0,143.17,116.34,3,1,-0.7443518704174927,-0.8221233720805252
4324.0,107.55,144.62,117.15,3,1,-0.710670335269911,-0.7938798577838042
4474.0,108.15,146.18,118.0,3,1,-0.6745829761832162,-0.7642416020403319
4614.0,108.73,147.63,118.8,3,1,-0.6409014410356343,-0.7363467731052991
4754.0,109.32,149.08,119.63,3,1,-0.6072199058880525,-0.7074058880852023
4904.0,109.98,150.63,120.52,3,1,-0.5711325468013577,-0.6763728908949782
5044.0,110.6,152.08,121.37,3,1,-0.537451011653776,-0.6467346351515053
5194.0,111.28,153.64,122.3,3,1,-0.5013636525670812,-0.6143068965145297
5334.0,111.93,155.09,123.17,3,1,-0.46768211741949933,-0.5839712700476812
5474.0,112.6,156.54,124.06,3,1,-0.4340005822719175,-0.5529382728574571
5624.0,113.33,158.09,125.02,3,1,-0.3979132231852227,-0.5194644781354177
5764.0,114.03,159.54,125.93,3,1,-0.3642316880376409,-0.4877341102218174
5914.0,114.79,161.1,126.92,3,1,-0.3281443289509461,-0.45321425941471427
6054.0,115.52,162.55,127.85,3,1,-0.29446279380336426,-0.4207865207777387
6194.0,116.26,164.0,128.79,3,1,-0.26078125865578244,-0.38801009677907505
6344.0,117.07,165.56,129.81,3,1,-0.22469389956908767,-0.3524441898869077
6484.0,117.83,167.01,130.77,3,1,-0.19101236442150588,-0.3189703951648678
6634.0,118.67,168.56,131.81,3,1,-0.15492500533481107,-0.28270711754932526
6774.0,119.47,170.02,132.8,3,1,-0.12124347018722925,-0.24818726674222163
6914.0,120.27,171.47,133.79,3,1,-0.08756193503964745,-0.213667415935119
7064.0,121.15,173.03,134.86,3,1,-0.05147457595295265,-0.1763580822345117
7204.0,121.98,174.48,135.87,3,1,-0.017793040805370836,-0.14114086070403287
7354.0,122.89,176.03,136.96,3,1,0.018294318281323965,-0.10313415628005033
7494.0,123.75,177.49,137.98,3,1,0.051975853428905774,-0.06756824938788394
7634.0,124.61,178.94,139.02,3,1,0.08565738857648758,-0.03130497177234038
7784.0,125.56,180.5,140.13,3,1,0.12174474766318238,0.007399103375017345
7924.0,126.45,181.95,141.19,3,1,0.1554262828107642,0.0443597517139361
8074.0,127.42,183.51,142.32,3,1,0.19151364189745898,0.08376119758467
8214.0,128.33,184.96,143.39,3,1,0.2251951770450408,0.12107053128527635
8354.0,129.25,186.41,144.46,3,1,0.2588767121926226,0.1583798649858837
8504.0,130.26,187.97,145.62,3,1,0.2949640712793174,0.19882736694168138
8644.0,131.2,189.43,146.71,3,1,0.3286456064268992,0.23683407136566392
8794.0,132.2,191.0,147.85,3,1,0.364732965513594,0.2765842025980854
8934.0,133.12,192.45,148.89,3,1,0.39841450066117584,0.312847480213628
9074.0,134.05,193.9,149.95,3,1,0.43209603580875766,0.3498081285525467
9224.0,135.06,195.46,151.1,3,1,0.46818339489545246,0.38990694514665686
9364.0,136.0,196.91,152.18,3,1,0.5018649300430342,0.4275649642089518
9514.0,137.02,198.47,153.34,3,1,0.537952289129729,0.46801246616474945
9654.0,137.98,199.92,154.44,3,1,0.5716338242773109,0.5063678559504196
9794.0,138.95,201.38,155.54,3,1,0.6053153594248927,0.5447232457360897
9944.0,140.0,202.93,156.73,3,1,0.6414027185115875,0.5862168037769512
10084.0,140.98,204.39,157.84,3,1,0.6750842536591692,0.6249208789243099
10234.0,142.05,205.95,159.05,3,1,0.711171612745864,0.6671118076885475
10374.0,143.05,207.4,160.17,3,1,0.7448531478934459,0.7061645681975929
10514.0,144.06,208.86,161.31,3,1,0.7785346830410277,0.7459146994300153
10664.0,145.15,210.41,162.53,3,1,0.8146220421277225,0.7884543135559405
10804.0,146.18,211.87,163.68,3,1,0.8483035772753043,0.8285531301500506
10954.0,147.28,213.43,164.91,3,1,0.8843909363619991,0.8714414296376635
11094.0,148.33,214.88,166.07,3,1,0.9180724715095809,0.9118889315934612
11234.0,149.37,216.34,167.24,3,1,0.9517540066571627,0.9526851189109474
11384.0,150.51,217.89,168.49,3,1,0.9878413657438575,0.9962707891219365
11524.0,151.57,219.35,169.66,3,1,1.0215229008914393,1.0370669764394216
